country,year,gdp_growth,inflation,unemployment,inflation_score,unemployment_score,gdp_risk_score,macro_pressure_score
Estonia,2024,-0.0900428648493801,3.52056053296586,7.6,0.914063073469012,0.7203186053501652,1.0,0.8537526715276709
Estonia,2025,-0.0900428648493801,3.52056053296586,8.313,,0.8274721971746318,,0.8537526715276709
Finland,2024,0.416171964862073,1.56568906231616,8.4,0.2769908792101125,0.8405470393748121,0.8376714903691355,0.614549465507797
Finland,2025,0.416171964862073,1.56568906231616,9.461,,1.0,,0.614549465507797
Latvia,2024,-0.0461080109713521,1.26579885828729,6.9,0.1792597939772172,0.6151187255785994,0.9859113583161218,0.514933679485551
Latvia,2025,-0.0461080109713521,1.26579885828729,6.568,,0.5652239254583709,,0.514933679485551
Lithuania,2024,2.77263124530285,0.715735835228723,6.851,0.0,0.6077547339945898,0.0820228990036654,0.259506473398569
Lithuania,2025,2.77263124530285,0.715735835228723,6.731,,0.5897204688908927,,0.259506473398569
Poland,2024,3.02841630700273,3.7842600751287,2.807,1.0,0.0,0.0,0.4
Poland,2025,3.02841630700273,3.7842600751287,2.976,,0.0253982566877066,,0.4
Sweden,2024,0.820071806703865,2.83581658224034,8.4,0.6909121718656275,0.8405470393748121,0.7081524492069231,0.7542141743375604
Sweden,2025,0.820071806703865,2.83581658224034,8.694,,0.8847309888788699,,0.7542141743375604
